trade,pnl_netto,pnl_tp,pnl_sl
117,93.1017926514817,42.82305200667022,-49.72125935518858
118,94.35160098240539,44.072860337593895,-49.72125935518858
119,93.81485820217375,44.072860337593895,-50.25800213542021
120,93.22428894489559,44.072860337593895,-50.848571392698375
121,92.69013163626893,44.072860337593895,-51.38272870132504
122,93.95822155659054,45.3409502579155,-51.38272870132504
123,95.23591343289564,46.61864213422061,-51.38272870132504
124,94.70156683983603,46.61864213422061,-51.91707529438465
125,94.14734994787761,46.61864213422061,-52.47129218634308
126,93.48097435531162,46.61864213422061,-53.137667778909076
127,92.81841884550072,46.61864213422061,-53.800223288719984
128,92.29284388592161,46.61864213422061,-54.325798248299094
129,91.69021864076342,46.61864213422061,-54.92842349345728
130,91.16968936744856,46.61864213422061,-55.44895276677215
131,90.63230977455282,46.61864213422061,-55.98633235966789
132,90.04751309116969,46.61864213422061,-56.57112904305103
133,89.43078897252902,46.61864213422061,-57.1878531616917
134,88.90217686901407,46.61864213422061,-57.716465265206644
135,88.37778283735126,46.61864213422061,-58.240859296869445
136,87.854348915132,46.61864213422061,-58.764293219088714
137,89.2657693484153,48.03006256750392,-58.764293219088714
138,90.62513949190063,49.38943271098924,-58.764293219088714
139,89.9332307592712,49.38943271098924,-59.45620195171815
140,89.40573932924052,49.38943271098924,-59.98369338174883
141,88.84577863241309,49.38943271098924,-60.54365407857626
142,88.3114345430232,49.38943271098924,-61.07799816796615
143,87.78465768462006,49.38943271098924,-61.60477502636929
144,87.23743961983351,49.38943271098924,-62.15199309115584
145,86.65504608740677,49.38943271098924,-62.734386623582566
146,86.133546231627,49.38943271098924,-63.255886479362346
147,85.6131227293475,49.38943271098924,-63.77630998164185
148,86.85753784059644,50.63384782223818,-63.77630998164185
149,86.31604754285985,50.63384782223818,-64.31780027937843
150,85.82570674351311,50.63384782223818,-64.80814107872517
151,85.33917042446909,50.63384782223818,-65.29467739776919
152,86.58310436948183,51.87778176725092,-65.29467739776919
153,86.08928976968919,51.87778176725092,-65.78849199756183
154,85.58034244962674,51.87778176725092,-66.29743931762428
155,84.94748099823266,51.87778176725092,-66.93030076901836
156,84.45773064368866,51.87778176725092,-67.42005112356236
157,83.93494031000976,51.87778176725092,-67.94284145724126
158,83.34390342712972,51.87778176725092,-68.5338783401213
159,82.63200625178965,51.87778176725092,-69.24577551546137
160,82.11857984022522,51.87778176725092,-69.7592019270258
161,81.52094710793389,51.87778176725092,-70.35683465931713
162,80.49765954102102,51.87778176725092,-71.38012222623
163,79.81752582876668,51.87778176725092,-72.06025593848435
164,79.3522102520685,51.87778176725092,-72.52557151518252
165,78.88441113783065,51.87778176725092,-72.99337062942037
166,78.41726518029337,51.87778176725092,-73.46051658695765
167,77.88480148440912,51.87778176725092,-73.9929802828419
168,77.4054065265478,51.87778176725092,-74.47237524070323
169,76.82416709434862,51.87778176725092,-75.0536146729024
170,77.9291705052254,52.9827851781277,-75.0536146729024
171,79.1616167432471,54.21523141614939,-75.0536146729024
172,78.53175163466591,54.21523141614939,-75.68347978148358
173,78.00150372376135,54.21523141614939,-76.21372769238815
174,79.1911617476859,55.404889440073944,-76.21372769238815
175,78.69640654622255,55.404889440073944,-76.7084828938515
176,78.14830867877107,55.404889440073944,-77.25658076130297
177,77.67132803308552,55.404889440073944,-77.73356140698853
178,77.19600163868309,55.404889440073944,-78.20888780139096
179,76.67307244151105,55.404889440073944,-78.73181699856299
180,76.1571344885057,55.404889440073944,-79.24775495156834
181,75.66012878370665,55.404889440073944,-79.74476065636739
182,76.82568003990164,56.57044069626893,-79.74476065636739
183,76.3563278598102,56.57044069626893,-80.21411283645884
184,75.88727594215992,56.57044069626893,-80.68316475410911
185,75.22899295829713,56.57044069626893,-81.3414477379719
186,74.7588344406989,56.57044069626893,-81.81160625557013
187,74.24240243217034,56.57044069626893,-82.3280382640987
188,73.71292456038039,56.57044069626893,-82.85751613588864
189,74.89415705934105,57.75167319522961,-82.85751613588864
190,74.35091051951574,57.75167319522961,-83.40076267571396
191,75.50641169844879,58.90717437416266,-83.40076267571396
192,74.91836276099008,58.90717437416266,-83.98881161317267
193,76.07289384693789,60.061705460110474,-83.98881161317267
194,75.59464691982942,60.061705460110474,-84.46705854028114
195,75.1285036334014,60.061705460110474,-84.93320182670917
196,74.66543487703639,60.061705460110474,-85.39627058307417
197,75.80835879991079,61.204629382984876,-85.39627058307417
198,75.30890455885375,61.204629382984876,-85.89572482413121
199,76.39641547920814,62.29214030333926,-85.89572482413121
200,75.76410268329455,62.29214030333926,-86.5280376200448
201,74.9596984685572,62.29214030333926,-87.33244183478214
202,76.1401494693477,63.47259130412976,-87.33244183478214
203,75.6062518933716,63.47259130412976,-87.86633941075824
204,75.1449119459781,63.47259130412976,-88.32767935815176
205,74.67958614605905,63.47259130412976,-88.7930051580708
206,75.73856424376206,64.53156940183275,-88.7930051580708
207,75.28918675390615,64.53156940183275,-89.2423826479267
208,74.84013139872519,64.53156940183275,-89.69143800310766
209,74.39183462509637,64.53156940183275,-90.13973477673649
210,73.91248262802884,64.53156940183275,-90.61908677380401
211,73.46493075200245,64.53156940183275,-91.06663864983041
212,74.65338747177665,65.72002612160696,-91.06663864983041
213,75.89594475296141,66.96258340279172,-91.06663864983041
214,74.9557855865238,66.96258340279172,-92.00679781626802
215,74.4992072520732,66.96258340279172,-92.46337615071862
216,74.04472384755171,66.96258340279172,-92.91785955524011
217,73.53913910536016,66.96258340279172,-93.42344429743166
218,74.74583024378904,68.1692745412206,-93.42344429743166
219,73.98493646205681,68.1692745412206,-94.1843380791639
220,75.1843688218551,69.3687069010189,-94.1843380791639
221,76.37852141063038,70.56285948979418,-94.1843380791639
222,75.9125349286966,70.56285948979418,-94.65032456109768
223,75.44725110211758,70.56285948979418,-95.1156083876767
