MCM_STATE | mode=market impulse=1.3606 motivation=0.2893 risk=-0.1475 replay=0.0030 self_state=active attractor=explore mean_energy=1.9434 mean_motivation=0.5703 mean_risk=-1.2296 mean_velocity=0.2166 clusters=1 memory_center=2.1926 memory_strength=32
MCM_STATE | mode=outcome impulse=0.8284 motivation=0.2850 risk=-0.2085 replay=0.0189 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.7752 mean_risk=-1.2685 mean_velocity=0.1519 clusters=1 memory_center=2.1963 memory_strength=39
MCM_STATE | mode=market impulse=0.9666 motivation=0.1376 risk=-0.1359 replay=-0.0076 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.7882 mean_risk=-1.2559 mean_velocity=0.1660 clusters=1 memory_center=2.1982 memory_strength=45
MCM_STATE | mode=outcome impulse=-0.9345 motivation=-0.2261 risk=-0.2235 replay=0.0029 self_state=active attractor=explore mean_energy=0.2225 mean_motivation=0.4566 mean_risk=-1.3180 mean_velocity=0.2240 clusters=1 memory_center=2.1982 memory_strength=38
MCM_STATE | mode=market impulse=1.6959 motivation=0.1245 risk=-0.2327 replay=-0.0252 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.4624 mean_risk=-1.4069 mean_velocity=0.1867 clusters=1 memory_center=2.1991 memory_strength=44
MCM_STATE | mode=market impulse=-1.0574 motivation=-0.0780 risk=-0.3098 replay=-0.0198 self_state=stressed attractor=explore mean_energy=0.0353 mean_motivation=0.2509 mean_risk=-1.5969 mean_velocity=0.2404 clusters=1 memory_center=2.1991 memory_strength=37
MCM_STATE | mode=market impulse=0.0344 motivation=0.0261 risk=-0.1054 replay=-0.0198 self_state=stressed attractor=explore mean_energy=-0.0551 mean_motivation=0.1604 mean_risk=-1.5282 mean_velocity=0.2684 clusters=1 memory_center=2.1991 memory_strength=31
MCM_STATE | mode=market impulse=1.0159 motivation=0.0827 risk=-0.1036 replay=0.0186 self_state=active attractor=explore mean_energy=1.4075 mean_motivation=0.1781 mean_risk=-1.4263 mean_velocity=0.3008 clusters=1 memory_center=2.1991 memory_strength=26
MCM_STATE | mode=market impulse=1.2191 motivation=0.2625 risk=-0.1601 replay=0.0186 self_state=active attractor=explore mean_energy=1.9500 mean_motivation=0.3533 mean_risk=-1.4111 mean_velocity=0.1933 clusters=1 memory_center=2.1995 memory_strength=34
MCM_STATE | mode=market impulse=-0.2902 motivation=-0.1443 risk=-0.2123 replay=-0.0076 self_state=active attractor=explore mean_energy=1.2661 mean_motivation=0.1712 mean_risk=-1.4263 mean_velocity=0.2370 clusters=1 memory_center=2.1995 memory_strength=29
