EXIT SL | time=N/A side=LONG entry=192.2617 tp=197.2014 sl=190.5645 risk=1.6972 mfe=0.4583 mae=1.6417 energy=1.5161290322580496 stim=reward attr=engage socially eff=1.0 node=42 mem=explore res=0.7825182101976806 pnl=-1.6972
AI_DECISION | ml=LONG ai=LONG rr=3.5594405594405525 stim=reward attr=engage socially eff=1.0 node=42 mem=explore
EXIT TP | time=N/A side=SHORT entry=190.8844 tp=186.0010 sl=192.3990 risk=1.5145 mfe=5.9744 mae=0.0000 energy=1.350000000000032 stim=reward attr=engage socially eff=1.0 node=3 mem=analysis res=0.4725000000000544 pnl=4.8835
AI_DECISION | ml=SHORT ai=SHORT rr=3.9597551386890357 stim=reward attr=engage socially eff=1.0 node=3 mem=analysis
EXIT SL | time=N/A side=SHORT entry=187.9582 tp=183.4832 sl=189.8586 risk=1.9004 mfe=4.4482 mae=4.1118 energy=1.7448979591836997 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis res=1.2997709287797408 pnl=-1.9004
AI_DECISION | ml=SHORT ai=SHORT rr=2.882465078741938 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis
EXIT SL | time=N/A side=LONG entry=190.4535 tp=194.7166 sl=188.2789 risk=2.1746 mfe=0.3765 mae=2.5635 energy=1.9882352941176578 stim=reward attr=engage socially eff=0.6666666666666666 node=304 mem=explore res=1.964844290657471 pnl=-2.1746
AI_DECISION | ml=LONG ai=LONG rr=2.4052629544938022 stim=reward attr=engage socially eff=0.6666666666666666 node=304 mem=explore
EXIT SL | time=N/A side=SHORT entry=188.0761 tp=183.6287 sl=189.9657 risk=1.8896 mfe=3.8761 mae=2.2739 energy=1.7333333333333165 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis res=1.2711111111110696 pnl=-1.8896
AI_DECISION | ml=SHORT ai=SHORT rr=2.882465078741938 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis
EXIT SL | time=N/A side=SHORT entry=187.2760 tp=182.3951 sl=189.2048 risk=1.9288 mfe=1.9260 mae=2.1640 energy=1.7804878048781079 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis res=1.3896490184415555 pnl=-1.9288
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis
EXIT SL | time=N/A side=LONG entry=189.8716 tp=192.7922 sl=187.9890 risk=1.8826 mfe=0.6384 mae=1.9316 energy=1.7142857142855983 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore res=1.2244897959180856 pnl=-1.8826
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore
EXIT SL | time=N/A side=LONG entry=188.4831 tp=193.0692 sl=186.3602 risk=2.1229 mfe=3.3869 mae=2.2431 energy=1.9599999999999227 stim=reward attr=engage socially eff=0.7647058823529411 node=1477 mem=explore res=1.8815999999997743 pnl=-2.1229
AI_DECISION | ml=LONG ai=LONG rr=2.637480468281983 stim=reward attr=engage socially eff=0.7647058823529411 node=1477 mem=explore
EXIT TP | time=N/A side=SHORT entry=186.2916 tp=182.5528 sl=188.3663 risk=2.0747 mfe=4.1716 mae=0.5284 energy=1.9310344827586325 stim=reward attr=engage socially eff=0.5925925925925926 node=21 mem=analysis res=1.797859690844267 pnl=3.7388
AI_DECISION | ml=SHORT ai=SHORT rr=2.2273812280574323 stim=reward attr=engage socially eff=0.5925925925925926 node=21 mem=analysis
EXIT TP | time=N/A side=SHORT entry=181.6327 tp=177.4537 sl=183.4117 risk=1.7790 mfe=4.2627 mae=0.0000 energy=1.6875000000000064 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis res=1.160156250000015 pnl=4.1790
AI_DECISION | ml=SHORT ai=SHORT rr=2.882465078741938 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis
EXIT TP | time=N/A side=SHORT entry=176.7092 tp=172.4719 sl=178.5078 risk=1.7986 mfe=5.6892 mae=1.6108 energy=1.757142857142871 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis res=1.3304081632653413 pnl=4.2373
AI_DECISION | ml=SHORT ai=SHORT rr=2.882465078741938 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis
EXIT SL | time=N/A side=SHORT entry=175.6099 tp=170.7077 sl=177.5385 risk=1.9285 mfe=1.1599 mae=2.6501 energy=1.902912621359229 stim=reward attr=engage socially eff=0.7222222222222222 node=696 mem=analysis res=1.718163823169023 pnl=-1.9285
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=696 mem=analysis
EXIT TP | time=N/A side=LONG entry=177.2566 tp=180.9657 sl=175.5119 risk=1.7447 mfe=3.9834 mae=0.0000 energy=1.7011494252873682 stim=reward attr=engage socially eff=0.6363636363636364 node=1441 mem=explore res=1.1927599418681751 pnl=3.7091
AI_DECISION | ml=LONG ai=LONG rr=2.6221903808430524 stim=reward attr=engage socially eff=0.6363636363636364 node=1441 mem=explore
EXIT TP | time=N/A side=LONG entry=181.5675 tp=185.7020 sl=179.6453 risk=1.9223 mfe=4.3825 mae=0.0000 energy=1.8367346938775286 stim=reward attr=engage socially eff=0.7647058823529411 node=1477 mem=explore res=1.53685964181585 pnl=4.1345
AI_DECISION | ml=LONG ai=LONG rr=2.637480468281983 stim=reward attr=engage socially eff=0.7647058823529411 node=1477 mem=explore
EXIT TP | time=N/A side=LONG entry=186.2951 tp=188.9964 sl=184.5454 risk=1.7498 mfe=2.7749 mae=0.0000 energy=1.619047619047574 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore res=1.002267573696044 pnl=2.7013
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore
EXIT SL | time=N/A side=SHORT entry=187.1318 tp=182.4204 sl=188.9980 risk=1.8662 mfe=1.4818 mae=2.0682 energy=1.7209302325581572 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis res=1.2406706327745158 pnl=-1.8662
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis
EXIT SL | time=N/A side=SHORT entry=187.1900 tp=183.4495 sl=189.2667 risk=2.0768 mfe=1.3900 mae=2.1900 energy=1.9263157894736629 stim=reward attr=engage socially eff=0.5925925925925926 node=11 mem=analysis res=1.7843767313018781 pnl=-2.0768
AI_DECISION | ml=SHORT ai=SHORT rr=2.2273812280574323 stim=reward attr=engage socially eff=0.5925925925925926 node=11 mem=analysis
EXIT SL | time=N/A side=LONG entry=189.1508 tp=192.0936 sl=187.2556 risk=1.8952 mfe=1.5592 mae=2.1508 energy=1.7333333333333711 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore res=1.2711111111112046 pnl=-1.8952
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore
EXIT SL | time=N/A side=SHORT entry=186.9480 tp=183.3693 sl=188.9405 risk=1.9925 mfe=0.7380 mae=6.6620 energy=1.8448275862069354 stim=reward attr=engage socially eff=0.5925925925925926 node=21 mem=analysis res=1.5585612366231723 pnl=-1.9925
AI_DECISION | ml=SHORT ai=SHORT rr=2.2273812280574323 stim=reward attr=engage socially eff=0.5925925925925926 node=21 mem=analysis
EXIT SL | time=N/A side=LONG entry=195.8024 tp=200.1222 sl=193.5967 risk=2.2057 mfe=1.3176 mae=2.4024 energy=1.9599999999999984 stim=reward attr=engage socially eff=0.6666666666666666 node=1474 mem=explore res=1.8815999999999955 pnl=-2.2057
AI_DECISION | ml=LONG ai=LONG rr=2.4052629544938022 stim=reward attr=engage socially eff=0.6666666666666666 node=1474 mem=explore
EXIT TP | time=N/A side=LONG entry=203.2891 tp=206.2520 sl=201.3707 risk=1.9184 mfe=2.5409 mae=0.4991 energy=1.6271186440678007 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore res=1.0203964378052377 pnl=2.9629
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore
EXIT TP | time=N/A side=SHORT entry=203.4602 tp=198.8076 sl=205.4416 risk=1.9815 mfe=4.5802 mae=0.0298 energy=1.6774193548386997 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis res=1.13631633714878 pnl=4.6526
AI_DECISION | ml=SHORT ai=SHORT rr=2.882465078741938 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis
EXIT TP | time=N/A side=LONG entry=202.2076 tp=206.3737 sl=200.2457 risk=1.9619 mfe=8.0424 mae=0.0000 energy=1.6755555555555601 stim=reward attr=engage socially eff=0.6363636363636364 node=920 mem=explore res=1.1319308641975416 pnl=4.1660
AI_DECISION | ml=LONG ai=LONG rr=2.6221903808430524 stim=reward attr=engage socially eff=0.6363636363636364 node=920 mem=explore
EXIT SL | time=N/A side=SHORT entry=207.7942 tp=202.5172 sl=209.8830 risk=2.0888 mfe=2.4342 mae=2.9358 energy=1.7342995169082063 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis res=1.2734952974398313 pnl=-2.0888
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis
EXIT SL | time=N/A side=LONG entry=213.7052 tp=218.6033 sl=211.4289 risk=2.2763 mfe=0.1848 mae=1.1052 energy=1.8484848484848564 stim=reward attr=engage socially eff=0.7647058823529411 node=1477 mem=explore res=1.5684113865932259 pnl=-2.2763
AI_DECISION | ml=LONG ai=LONG rr=2.637480468281983 stim=reward attr=engage socially eff=0.7647058823529411 node=1477 mem=explore
EXIT SL | time=N/A side=LONG entry=213.2686 tp=216.6196 sl=211.1123 risk=2.1564 mfe=0.4814 mae=2.6186 energy=1.7500000000000444 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore res=1.312500000000111 pnl=-2.1564
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore
EXIT SL | time=N/A side=SHORT entry=211.0128 tp=206.1251 sl=213.0925 risk=2.0797 mfe=2.2328 mae=3.8872 energy=1.6986301369862986 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis res=1.1867142052917932 pnl=-2.0797
AI_DECISION | ml=SHORT ai=SHORT rr=2.882465078741938 stim=reward attr=engage socially eff=0.6956521739130435 node=12 mem=analysis
EXIT SL | time=N/A side=SHORT entry=211.8919 tp=207.7345 sl=214.2025 risk=2.3106 mfe=0.9119 mae=2.4981 energy=1.8888888888889153 stim=reward attr=engage socially eff=0.5925925925925926 node=11 mem=analysis res=1.6790123456790853 pnl=-2.3106
AI_DECISION | ml=SHORT ai=SHORT rr=2.2273812280574323 stim=reward attr=engage socially eff=0.5925925925925926 node=11 mem=analysis
EXIT SL | time=N/A side=SHORT entry=215.5781 tp=207.6276 sl=217.4950 risk=1.9170 mfe=0.9681 mae=1.9919 energy=1.523809523809519 stim=reward attr=engage socially eff=1.0 node=49 mem=analysis res=0.798185941043074 pnl=-1.9170
AI_DECISION | ml=SHORT ai=SHORT rr=5.0 stim=reward attr=engage socially eff=1.0 node=49 mem=analysis
EXIT SL | time=N/A side=LONG entry=219.1288 tp=224.2249 sl=217.3642 risk=1.7646 mfe=2.9812 mae=1.9088 energy=1.3749999999999754 stim=reward attr=engage socially eff=1.0 node=42 mem=explore res=0.5156249999999569 pnl=-1.7646
AI_DECISION | ml=LONG ai=LONG rr=3.5594405594405525 stim=reward attr=engage socially eff=1.0 node=42 mem=explore
EXIT SL | time=N/A side=SHORT entry=217.7753 tp=212.5676 sl=219.8454 risk=2.0701 mfe=1.6153 mae=3.4147 energy=1.6351351351351258 stim=reward attr=engage socially eff=0.7222222222222222 node=10 mem=analysis res=1.0385317750182401 pnl=-2.0701
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=10 mem=analysis
EXIT SL | time=N/A side=SHORT entry=217.8975 tp=212.7166 sl=219.9579 risk=2.0603 mfe=0.7775 mae=2.0825 energy=1.626016260162592 stim=reward attr=engage socially eff=0.7222222222222222 node=10 mem=analysis res=1.0179126181505502 pnl=-2.0603
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=10 mem=analysis
EXIT SL | time=N/A side=LONG entry=219.4838 tp=222.8777 sl=217.2970 risk=2.1868 mfe=1.4962 mae=1.8938 energy=1.7230769230769467 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore res=1.2459171597633711 pnl=-2.1868
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore
EXIT SL | time=N/A side=LONG entry=221.9404 tp=225.3228 sl=219.7585 risk=2.1819 mfe=1.3896 mae=2.6304 energy=1.6989795918367443 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore res=1.187552061641006 pnl=-2.1819
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore
EXIT TP | time=N/A side=LONG entry=220.7275 tp=224.0652 sl=218.5731 risk=2.1545 mfe=7.2025 mae=0.0000 energy=1.686153846153843 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore res=1.1569609467455546 pnl=3.3377
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore
EXIT TP | time=N/A side=LONG entry=223.0419 tp=226.3180 sl=220.9222 risk=2.1198 mfe=3.7481 mae=0.0000 energy=1.6393442622950836 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore res=1.048105348024728 pnl=3.2761
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore
EXIT TP | time=N/A side=LONG entry=226.8694 tp=230.1726 sl=224.7305 risk=2.1389 mfe=3.4806 mae=0.0000 energy=1.6255144032921718 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore res=1.0167826720181334 pnl=3.3032
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore
EXIT SL | time=N/A side=SHORT entry=227.2538 tp=222.1352 sl=229.4361 risk=2.1823 mfe=1.1838 mae=3.0162 energy=1.6527777777777772 stim=reward attr=engage socially eff=0.6956521739130435 node=11 mem=analysis res=1.0788966049382704 pnl=-2.1823
AI_DECISION | ml=SHORT ai=SHORT rr=2.882465078741938 stim=reward attr=engage socially eff=0.6956521739130435 node=11 mem=analysis
EXIT TP | time=N/A side=LONG entry=236.8135 tp=241.6971 sl=234.3086 risk=2.5050 mfe=4.8765 mae=0.0000 energy=1.8350515463917558 stim=reward attr=engage socially eff=0.6666666666666666 node=1651 mem=explore res=1.5323626315230188 pnl=4.8836
AI_DECISION | ml=LONG ai=LONG rr=2.4052629544938022 stim=reward attr=engage socially eff=0.6666666666666666 node=1651 mem=explore
EXIT SL | time=N/A side=LONG entry=242.0105 tp=245.8405 sl=239.5473 risk=2.4632 mfe=1.7395 mae=2.7205 energy=1.7622149837133485 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore res=1.343186665110489 pnl=-2.4632
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore
EXIT SL | time=N/A side=LONG entry=241.1875 tp=247.0637 sl=239.1603 risk=2.0272 mfe=0.6125 mae=1.5875 energy=1.4391534391534273 stim=reward attr=engage socially eff=1.0 node=26 mem=explore res=0.6320091822737103 pnl=-2.0272
AI_DECISION | ml=LONG ai=LONG rr=3.5594405594405525 stim=reward attr=engage socially eff=1.0 node=26 mem=explore
EXIT TP | time=N/A side=LONG entry=239.6940 tp=243.1002 sl=237.5330 risk=2.1610 mfe=4.2960 mae=0.0000 energy=1.5503875968992122 stim=reward attr=engage socially eff=0.5 node=25 mem=explore res=0.8533141037197022 pnl=3.4062
AI_DECISION | ml=LONG ai=LONG rr=2.0 stim=reward attr=engage socially eff=0.5 node=25 mem=explore
EXIT TP | time=N/A side=LONG entry=254.7429 tp=258.6101 sl=252.2474 risk=2.4955 mfe=3.2571 mae=0.0000 energy=1.6925925925925867 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore res=1.1722770919067074 pnl=3.8673
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=39 mem=explore
EXIT SL | time=N/A side=LONG entry=255.8542 tp=259.9401 sl=253.2282 risk=2.6260 mfe=0.4058 mae=3.9142 energy=1.777777777777771 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore res=1.3827160493826989 pnl=-2.6260
AI_DECISION | ml=LONG ai=LONG rr=1.9553169041206786 stim=reward attr=engage socially eff=0.6428571428571429 node=48 mem=explore
EXIT SL | time=N/A side=SHORT entry=250.9774 tp=244.5327 sl=253.5265 risk=2.5491 mfe=3.7574 mae=2.6026 energy=1.7532467532467642 stim=reward attr=engage socially eff=0.7222222222222222 node=10 mem=analysis res=1.3206274245235559 pnl=-2.5491
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=10 mem=analysis
EXIT TP | time=N/A side=LONG entry=253.1212 tp=259.1607 sl=251.0342 risk=2.0870 mfe=7.7688 mae=0.0000 energy=1.4099999999999966 stim=reward attr=engage socially eff=1.0 node=42 mem=explore res=0.5780999999999938 pnl=6.0395
AI_DECISION | ml=LONG ai=LONG rr=3.5594405594405525 stim=reward attr=engage socially eff=1.0 node=42 mem=explore
EXIT TP | time=N/A side=SHORT entry=259.7380 tp=253.6414 sl=262.1647 risk=2.4267 mfe=5.9880 mae=0.0000 energy=1.6055900621118033 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis res=0.9723293854403809 pnl=6.0965
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=40 mem=analysis
EXIT SL | time=N/A side=SHORT entry=253.7787 tp=246.9639 sl=256.4663 risk=2.6876 mfe=0.5387 mae=4.4213 energy=1.8318584070796369 stim=reward attr=engage socially eff=0.7222222222222222 node=696 mem=analysis res=1.5238468165087078 pnl=-2.6876
AI_DECISION | ml=SHORT ai=SHORT rr=3.0822400127696588 stim=reward attr=engage socially eff=0.7222222222222222 node=696 mem=analysis
