EXIT SL | time=N/A side=LONG entry=145.0344 tp=148.4868 sl=143.4682 risk=1.5662 mfe=0.0656 mae=1.4344 energy=1.8749999999999334 stim=reward attr=engage socially eff=0.7777777777777778 node=1477 mem=explore res=1.6406249999998168 pnl=-1.5662
AI_DECISION | ml=LONG ai=LONG rr=2.6954738298700134 stim=reward attr=engage socially eff=0.7777777777777778 node=1477 mem=explore
EXIT SL | time=N/A side=LONG entry=143.9999 tp=147.3498 sl=142.4779 risk=1.5220 mfe=0.5301 mae=1.5699 energy=1.8333333333332544 stim=reward attr=engage socially eff=0.7777777777777778 node=1477 mem=explore res=1.5277777777775674 pnl=-1.5220
AI_DECISION | ml=LONG ai=LONG rr=2.6954738298700134 stim=reward attr=engage socially eff=0.7777777777777778 node=1477 mem=explore
EXIT TP | time=N/A side=SHORT entry=142.9336 tp=138.6384 sl=144.4478 risk=1.5143 mfe=4.6936 mae=0.3164 energy=1.8333333333334911 stim=reward attr=engage socially eff=0.7727272727272727 node=696 mem=analysis res=1.5277777777781987 pnl=4.2951
AI_DECISION | ml=SHORT ai=SHORT rr=3.429589300327823 stim=reward attr=engage socially eff=0.7727272727272727 node=696 mem=analysis
EXIT SL | time=N/A side=LONG entry=134.0640 tp=135.9419 sl=132.7814 risk=1.2825 mfe=0.0160 mae=1.3540 energy=1.65079365079365 stim=reward attr=engage socially eff=0.5882352941176471 node=39 mem=explore res=1.0743260267069774 pnl=-1.2825
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=39 mem=explore
EXIT SL | time=N/A side=LONG entry=133.7974 tp=135.7243 sl=132.4845 risk=1.3129 mfe=1.3626 mae=1.3974 energy=1.6956521739130597 stim=reward attr=engage socially eff=0.5882352941176471 node=39 mem=explore res=1.1795841209830253 pnl=-1.3129
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=39 mem=explore
EXIT TP | time=N/A side=SHORT entry=131.7171 tp=128.7232 sl=133.1183 risk=1.4012 mfe=3.0271 mae=0.3729 energy=1.8424657534246653 stim=reward attr=engage socially eff=0.6578947368421053 node=11 mem=analysis res=1.5522142991180545 pnl=2.9940
AI_DECISION | ml=SHORT ai=SHORT rr=2.6212960705892594 stim=reward attr=engage socially eff=0.6578947368421053 node=11 mem=analysis
EXIT TP | time=N/A side=SHORT entry=128.8675 tp=125.3550 sl=130.1957 risk=1.3283 mfe=4.1875 mae=0.9025 energy=1.78260869565219 stim=reward attr=engage socially eff=0.7419354838709677 node=21 mem=analysis res=1.3950850661626122 pnl=3.5124
AI_DECISION | ml=SHORT ai=SHORT rr=3.214040100910985 stim=reward attr=engage socially eff=0.7419354838709677 node=21 mem=analysis
EXIT SL | time=N/A side=SHORT entry=127.3641 tp=124.0972 sl=128.6046 risk=1.2405 mfe=0.4841 mae=1.1459 energy=1.6800000000000068 stim=reward attr=engage socially eff=0.7419354838709677 node=11 mem=analysis res=1.142400000000016 pnl=-1.2405
AI_DECISION | ml=SHORT ai=SHORT rr=3.214040100910985 stim=reward attr=engage socially eff=0.7419354838709677 node=11 mem=analysis
EXIT SL | time=N/A side=SHORT entry=127.9091 tp=124.4330 sl=129.2239 risk=1.3148 mfe=1.2691 mae=1.5909 energy=1.7777777777777426 stim=reward attr=engage socially eff=0.7419354838709677 node=11 mem=analysis res=1.3827160493826263 pnl=-1.3148
AI_DECISION | ml=SHORT ai=SHORT rr=3.214040100910985 stim=reward attr=engage socially eff=0.7419354838709677 node=11 mem=analysis
EXIT SL | time=N/A side=SHORT entry=128.4473 tp=124.6478 sl=129.7881 risk=1.3408 mfe=3.1873 mae=2.0727 energy=1.8043478260869774 stim=reward attr=engage socially eff=0.7727272727272727 node=40 mem=analysis res=1.4513232514178236 pnl=-1.3408
AI_DECISION | ml=SHORT ai=SHORT rr=3.429589300327823 stim=reward attr=engage socially eff=0.7727272727272727 node=40 mem=analysis
EXIT TP | time=N/A side=SHORT entry=131.1357 tp=127.6037 sl=132.4724 risk=1.3367 mfe=3.9157 mae=0.0000 energy=1.7619047619047168 stim=reward attr=engage socially eff=0.7419354838709677 node=21 mem=analysis res=1.3424036281178 pnl=3.5320
AI_DECISION | ml=SHORT ai=SHORT rr=3.214040100910985 stim=reward attr=engage socially eff=0.7419354838709677 node=21 mem=analysis
EXIT SL | time=N/A side=LONG entry=127.5900 tp=130.2890 sl=126.2805 risk=1.3095 mfe=2.0500 mae=1.3800 energy=1.77777777777777 stim=reward attr=engage socially eff=0.625 node=1651 mem=explore res=1.3827160493826962 pnl=-1.3095
AI_DECISION | ml=LONG ai=LONG rr=2.539332691002463 stim=reward attr=engage socially eff=0.625 node=1651 mem=explore
EXIT SL | time=N/A side=SHORT entry=125.9647 tp=122.9213 sl=127.3561 risk=1.3914 mfe=0.1247 mae=2.1353 energy=1.9176470588235368 stim=reward attr=engage socially eff=0.6666666666666666 node=11 mem=analysis res=1.7597231833910247 pnl=-1.3914
AI_DECISION | ml=SHORT ai=SHORT rr=2.673170932888069 stim=reward attr=engage socially eff=0.6666666666666666 node=11 mem=analysis
EXIT SL | time=N/A side=LONG entry=128.6224 tp=131.8236 sl=127.1743 risk=1.4481 mfe=1.1976 mae=1.6224 energy=1.9591836734693677 stim=reward attr=engage socially eff=0.7777777777777778 node=29 mem=explore res=1.8792169929195581 pnl=-1.4481
AI_DECISION | ml=LONG ai=LONG rr=2.6954738298700134 stim=reward attr=engage socially eff=0.7777777777777778 node=29 mem=explore
EXIT SL | time=N/A side=LONG entry=127.6108 tp=129.5260 sl=126.3103 risk=1.3006 mfe=0.5092 mae=1.4008 energy=1.7647058823529067 stim=reward attr=engage socially eff=0.5882352941176471 node=39 mem=explore res=1.3494809688580442 pnl=-1.3006
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=39 mem=explore
EXIT TP | time=N/A side=SHORT entry=126.5962 tp=123.5637 sl=127.9832 risk=1.3870 mfe=3.7762 mae=0.4438 energy=1.9000000000000212 stim=reward attr=engage socially eff=0.6666666666666666 node=11 mem=analysis res=1.7100000000000597 pnl=3.0325
AI_DECISION | ml=SHORT ai=SHORT rr=2.673170932888069 stim=reward attr=engage socially eff=0.6666666666666666 node=11 mem=analysis
EXIT TP | time=N/A side=SHORT entry=122.7756 tp=118.7537 sl=124.1865 risk=1.4109 mfe=5.6256 mae=0.0000 energy=2.0 stim=reward attr=engage socially eff=0.7727272727272727 node=696 mem=analysis res=2.0 pnl=4.0218
AI_DECISION | ml=SHORT ai=SHORT rr=3.429589300327823 stim=reward attr=engage socially eff=0.7727272727272727 node=696 mem=analysis
EXIT SL | time=N/A side=SHORT entry=118.5645 tp=115.5430 sl=119.7122 risk=1.1477 mfe=1.1345 mae=1.0055 energy=1.6666666666666627 stim=reward attr=engage socially eff=0.7419354838709677 node=11 mem=analysis res=1.111111111111102 pnl=-1.1477
AI_DECISION | ml=SHORT ai=SHORT rr=3.214040100910985 stim=reward attr=engage socially eff=0.7419354838709677 node=11 mem=analysis
